date,time,inside,outside
2020-07-29,05:03:29,2,0
2020-07-29,05:03:30,2,0
2020-07-29,05:03:31,4,0
2020-07-29,05:03:32,4,0
2020-07-29,05:03:33,4,0
2020-07-29,05:03:34,5,0
2020-07-29,05:03:35,5,0
2020-07-29,05:03:36,5,0
2020-07-29,05:03:37,5,0
2020-07-29,05:03:38,5,0
2020-07-29,05:03:39,5,0
2020-07-29,05:03:40,6,0
2020-07-29,05:03:41,6,0
2020-07-29,05:03:42,6,0
2020-07-29,05:03:43,7,0
2020-07-29,05:03:44,8,0
2020-07-29,05:03:45,8,0
2020-07-29,05:03:46,8,0
2020-07-29,05:03:47,10,0
2020-07-29,05:03:48,10,0
2020-07-29,05:03:49,10,0
2020-07-29,05:03:50,11,0
2020-07-29,05:03:51,11,0
2020-07-29,05:03:52,13,0
2020-07-29,05:03:53,13,0
2020-07-29,05:03:54,13,1
2020-07-29,05:03:55,13,1
2020-07-29,05:03:56,14,2
2020-07-29,05:03:57,14,2
2020-07-29,05:03:58,14,2
2020-07-29,05:03:59,16,2
2020-07-29,05:04:00,16,2
2020-07-29,05:04:01,16,2
2020-07-29,05:04:02,17,2
2020-07-29,05:04:03,17,2
2020-07-29,05:04:04,17,2
2020-07-29,06:33:09,0,0
2020-07-29,06:33:10,2,0
2020-07-29,06:33:11,2,0
2020-07-29,06:33:12,2,0
2020-07-29,06:33:13,2,0
2020-07-29,06:33:14,2,0
2020-07-29,06:33:15,2,0
2020-07-29,06:33:16,2,0
2020-07-29,06:33:17,2,0
2020-07-29,06:33:18,2,0
2020-07-29,06:33:19,2,0
2020-07-29,06:33:20,2,0
2020-07-29,06:33:21,2,1
2020-07-29,06:33:22,2,1
2020-07-29,06:33:23,2,1
2020-07-29,06:33:24,2,1
2020-07-29,06:33:25,2,1
2020-07-29,06:33:26,3,1
2020-07-29,06:33:27,3,1
2020-07-29,06:33:28,3,1
2020-07-29,06:33:29,3,1
2020-07-29,06:33:30,3,1
2020-07-29,06:33:31,3,1
2020-07-29,06:33:32,3,1
2020-07-29,06:33:33,3,1
2020-07-29,06:33:34,3,1
2020-07-29,06:33:35,3,1
2020-07-29,06:33:36,3,1
2020-07-29,06:33:37,3,1
2020-07-29,06:33:38,3,1
2020-07-29,06:33:39,4,1
2020-07-29,06:33:40,4,1
2020-07-29,06:33:41,4,1
2020-07-29,06:33:42,4,1
2020-07-29,06:33:43,4,1
2020-07-29,06:33:44,5,2
2020-07-29,06:33:45,5,2
2020-07-29,06:33:46,5,2
2020-07-29,06:33:47,5,2
2020-07-29,06:33:48,6,2
2020-07-29,06:33:49,6,2
2020-07-29,06:33:50,6,2
2020-07-29,06:33:51,6,2
